id,Lat_Dec,Lon_Dec,NO2uM,NO3uM,NH3uM,R_TEMP,R_Depth,R_Sal,R_DYNHT,R_Nuts,R_Oxy_micromol.Kg,,PO4uM,SiO3uM,TA1.x,Salinity1,Temperature_degC,DIC
16,32.92,-118.938333,0.03,0.7,0,14.66,2,314.1,0.006,0,271.0634,,0.38,2.9,2229.61,33.3854,14.66,2010.538716
17,31.41,-121.991667,0.03,0.2,0.13,14.94,51,331.4,0.177,0.13,261.0824,,0.42,2.4,2227.57,33.2379,14.95,2003.07
18,33.48412,-122.53382,0.008,0,0.01,19.66,3,455,0.014,0.01,236.66,,0.3,1.64,2211.21,32.979,19.66,1994.69
19,33.81027,-121.84337,0.013,34.58,0,7.33,323,139.5,0.684,0,52.19851,,2.72,54.81,2284.15,34.118,7.36,2264.72
20,34.31638,-120.80213,0.024,0,0,15.88,15,341,0.06,0,277.27,,0.37,3.64,2232.49,33.365,15.88,2007.35
21,34.32,-120.79787,0.04,30.5,0,8.69,232,156.1,0.433,0,57.86378,,2.62,41.82,2270.06,34.137,8.72,2241.99
22,32.84633,-117.5313,0.007,29.44,0,9.37,323,154.9,0.684,0,40.32,,2.63,41.03,2288.09,34.342,9.4,2259.2
23,33.48213,-122.53752,0.34,5,0.46,13.57,51,290.2,0.156,0.46,240.9309,,0.69,3.81,2234.35,33.431,13.58,2048.86
24,33.488333,-119.323333,0,34.3,0.07,7.69,320,135.8,0.589,0.07,33.49287,,2.78,55,2291.33,34.2452,7.72,2276.79
25,33.48412,-122.53382,0.059,9.45,0,11.33,96,281,0.347,0,232.18,,0.96,7.57,2207.17,33.019,11.35,2061.02
26,31.42703,-121.97902,0,26.8,0.06,8.27,233,164.4,0.583,0.06,132.2718,,1.99,33.15,2256.11,33.953,8.29,2187.64
27,32.65318,-119.47958,0.017,0.06,0.24,18.54,2,391.6,0.008,0.24,237.26,,0.29,1.23,2238.73,33.483,18.54,2003.36
28,33.488333,-122.533333,0,16.4,0,10.13,100,236.9,0.315,0,194.6413,,1.32,13.6,2219.29,33.333,10.14,2107.47
29,31.4145,-121.99232,0.014,23.8,0.07,8.83,171,184.3,0.451,0.07,153.6248,,1.77,25.98,2243.93,33.788,8.85,2165.27
30,32.416667,-119.956667,0,32.9,0,7.72,231,147.6,0.476,0,72.21532,,2.5,46.4,2273.9,34.0775,7.74,2240.814126
31,33.418333,-117.898333,0,37,0.12,6.41,520,116.7,0.839,0.12,12.61143,,3.04,64.1,2314.05,34.3176,6.46,2312.13
32,32.41513,-119.96142,0.009,0,0,17.29,1,364.9,0.004,0,242.8634,,0.32,2.09,2239.37,33.446,17.29,2012.4
33,34.31638,-120.80213,0.036,24.48,0,9.93,101,184,0.255,0,95.43,,2.11,29.12,2259.61,34,9.94,2201.55
34,33.421667,-117.915,0,37.8,0,6.72,520,120.5,0.899,0,13.91655,,3.04,69.5,2310.52,34.316,6.77,2362.15
35,31.418333,-121.998333,0,0.1,0.03,16.05,51,360.3,0.214,0.03,252.8758,,0.28,1.4,2216.2,33.166,16.06,1997.6
36,33.8223,-121.8382,0.016,31.9,0.03,7.58,233,150,0.5,0.03,89.61852,,2.35,43.68,2270.12,34.015,7.6,2229.2
37,33.821667,-118.633333,0,39,0,6.26,519,114.7,0.832,0,13.04607,,3.1,76.7,2316.27,34.3078,6.31,2316.8
38,33.478333,-122.535,0.06,1.5,0.16,15.22,3,339.8,0.01,0.16,261.1092,,0.39,2.7,2221.68,33.1838,15.22,2009.134244
39,34.49023,-120.92117,0.03,23,0,10.06,102,201.6,0.26,0,111.8671,,1.9,25.58,2243.43,33.791,10.07,2181.7
40,34.31582,-120.8065,0.04,29.7,0.08,8.58,171,156.3,0.335,0.08,62.2154,,2.46,41.29,2273.17,34.114,8.6,2239.41
41,32.84772,-117.53193,0.02,28,0.17,9.1,170,169.2,0.407,0.17,93.55295,,2.18,33.16,2260.09,34.042,9.12,2209.78
42,34.2324,-120.97948,0.02,32.9,0,8.16,252,142.9,0.505,0,40.45558,,2.64,47.87,2286.36,34.235,8.18,2270
43,34.15253,-121.15268,0.008,0,0.1,16.93,26,349.5,0.097,0.1,246.7464,,0.32,1.34,2242.73,33.567,16.93,2012.03
44,33.41763,-117.9034,0.373,5.31,0.06,13.05,30,290.7,0.099,0.06,230.0418,,0.77,6.66,2223.1,33.279,13.06,2057.14
45,34.28,-120.023333,0,34.7,0,7.74,321,143.6,0.602,0,43.93567,,2.68,53,2282.45,34.1529,7.77,2265.87
46,33.82042,-121.84573,0,30.15,0.25,8.85,232,155.6,0.537,0.25,55.25306,,2.53,40.85,2276.22,34.189,8.87,2244.22
47,34.276667,-120.03,0,28.6,0,6.4,520,121.9,0.749,0,5.653709,,3.67,99.1,2325.6,34.247,6.45,2336.4
48,34.31638,-120.80213,0.034,27.19,0,9.5,171,166.7,0.377,0,69,,2.36,35.54,2270.75,34.163,9.52,2228.82
49,33.48392,-122.53138,0.017,32.2,0,7.98,232,150.4,0.501,0,66.56146,,2.47,44.23,2271.15,34.087,8,2242.74
50,34.275,-120.02,0.03,30.1,0,8.93,102,160.2,0.189,0,63.08905,,2.42,40,2269.08,34.111,8.94,2237.37
51,33.49017,-122.543,0,24.9,0,8.78,172,178.1,0.431,0,140.1248,,1.91,27.87,2246.9,33.85,8.8,2174.64
52,32.416667,-119.956667,0.03,23.3,0,9.41,100,199.5,0.261,0,146.2517,,1.8,23.9,2238.11,33.6866,9.42,2157.157819
53,33.48228,-122.53438,0,29.38,0.05,7.74,232,154.6,0.546,0.05,108.3304,,2.16,39.69,2263.9,33.986,7.76,2211.94
54,33,-120.39,0.41,9.4,0.49,12.49,49,273.4,0.174,0.49,237.4053,,0.98,8.5,2227.9,33.374,12.5,2065.74
55,33.42067,-117.90133,0.019,0,0.08,15.32,2,316.8,0.006,0.08,254.9462,,0.34,2.69,2238.74,33.533,15.32,2013.27
56,32.65397,-119.48538,0.012,33.21,0.01,7.36,323,143,0.744,0.01,70.47053,,2.47,50.71,2278.04,34.079,7.39,2245.29
57,33.418333,-117.908333,0.05,14.8,0,11.39,51,256.4,0.154,0,192.5045,,1.26,12.4,2219.23,33.3362,11.4,2100.46
58,32.92,-118.938333,0,0,0,18.43,20,387.1,0.078,0,242.9167,,0.3,1.3,2239.33,33.5148,18.43,1998.46
59,34.32,-120.79787,0.2,18.6,0.05,11.1,30,227,0.073,0.05,168.5002,,1.54,18.5,2236.1,33.646,11.1,2137.98
60,34.27143,-120.02587,0.041,27.4,0.01,9.5,171,175.2,0.403,0.01,79.63352,,2.26,32.9,2262.92,34.05,9.52,2215.77
61,32.846666,-117.528333,0.01,26.2,0.04,9.7,170,178.6,0.412,0.04,92.69163,,2.15,30.3,2257.21,34.0415,9.72,2203.1
62,33.42,-117.9,0,0,0.04,15.86,2,337.1,0.007,0.04,271.1274,,0.27,2.1,2233.1,33.413,15.86,1998.7
63,34.318333,-120.803333,0,34.4,0,7.66,322,137.7,0.53,0,33.92847,,2.77,55.3,2290.5,34.228,7.69,2274.9
64,33.14778,-123.2202,0.014,35.7,0.01,7.27,323,137.3,0.645,0.01,40.01796,,2.71,55.2,2285.06,34.15,7.3,2271.38
65,33.478333,-122.535,0.02,16.8,0,9.71,100,224.3,0.281,0,199.8411,,1.34,15.8,2222.23,33.4289,9.72,2109.791168
66,32.65,-119.481667,0.07,0.6,0.09,16.09,50,355.2,0.191,0.09,246.7591,,0.35,1.2,2222.7,33.247,16.1,2009.2
67,34.288333,-120.028333,0.25,4.4,0.12,12.88,22,278.6,0.062,0.12,252.2312,,0.66,6.4,2227.58,33.3938,12.88,2041.1
68,33.8223,-121.8382,0.008,40.8,0.17,5.65,517,108.9,0.861,0.17,12.17563,,3.21,82.83,2318.06,34.28,5.7,2319.49
69,33.41782,-117.90867,0,29.9,0,8.71,232,154.9,0.471,0,63.08377,,2.43,40.82,2275.46,34.18,8.73,2239.25
70,34.31638,-120.80213,0.025,0,0,19.04,2,409.7,0.008,0,257.81,,0.27,2.13,2234.5,33.412,19.04,1993.86
71,33.14967,-123.22272,0.008,41.01,0,5.56,519,109.7,0.963,0,15.21967,,3.14,84.57,2319.65,34.253,5.6,2321.57
72,33.41763,-117.9034,0.012,0,0.02,16.16,2,349.9,0.007,0.02,265.0595,,0.27,1.78,2227.3,33.321,16.16,2000.45
73,34.27,-120.021666,0.25,13.8,0.17,11.93,50,252,0.152,0.17,184.221,,1.28,13.5,2231.33,33.5279,11.94,2109.87
74,31.4174,-121.99422,0.008,22.68,0.06,9.18,171,196.2,0.546,0.06,155.3844,,1.75,23.37,2237.03,33.696,9.2,2155.78
75,31.41382,-121.996,0.03,0,0.03,14.8,50,321,0.161,0.03,250.159,,0.3,2.67,2225.21,33.342,14.81,2011.08
76,33.14198,-123.2209,0.012,40.63,0,5.63,519,114.5,0.998,0,20.00399,,3.15,82.03,2310.86,34.205,5.67,2313.96
77,32.92,-118.938333,0.02,26.5,0,9.3,102,178.6,0.243,0,104.8781,,2.07,31,2254.3,33.95,9.31,2197.6
78,34.32,-120.79787,0.067,29.2,0.04,9.1,171,169.8,0.335,0.04,84.41571,,2.31,34.87,2261.23,34.022,9.12,2215.52
79,34.31487,-120.804,0.02,0.1,0,15.45,15,326.5,0.049,0,260.4621,,0.27,0.92,2231.15,33.432,15.45,2010.34
80,33.485,-122.541667,0,35.4,0,7.3,322,137.6,0.687,0,45.23804,,2.69,54.3,2285.2,34.152,7.33,2267.2
81,32.92,-118.938333,0,32.4,0,8.32,323,146.3,0.671,0,48.72188,,2.59,47,2284.94,34.2286,8.35,2259.06
82,34.321666,-120.811666,0.02,27.6,0.31,8.61,170,164.5,0.38,0.31,108.7776,,2.11,34.2,2260.34,34.006,8.63,2201.94
83,34.28082,-120.03182,0.03,24.7,0,9.84,101,193.3,0.226,0,108.3757,,2,27.72,2250,33.867,9.85,2187.71
84,34.2324,-120.97948,0.02,29.2,0,8.79,171,162,0.383,0,80.92818,,2.28,38.36,2267.37,34.076,8.81,2226.13
85,32.646667,-119.491667,0.01,35.4,0.09,7.34,322,134.5,0.59,0.09,38.27708,,2.75,56.4,2290.5,34.1954,7.37,2256.77
86,33.8221,-118.62953,0.03,16.5,0,11.42,102,240.8,0.294,0,155.1959,,1.5,16.43,2229.76,33.573,11.43,2129.63
87,34.31628,-120.80113,0.033,28.5,0.04,8.94,172,167.2,0.356,0.04,86.15389,,2.23,34.83,2267.11,34.029,8.96,2215.42
88,34.275,-120.025,0.27,8.5,0.33,12.17,50,274.4,0.155,0.33,216.9342,,0.92,6.8,2217.8,33.284,12.18,2070.5
89,32.418333,-119.958333,0,31.4,0,8.28,231,151.2,0.552,0,69.60744,,2.41,42.1,2276,34.134,8.3,2238.9
90,32.846667,-117.533333,0.05,12.7,0,11.47,50,263.1,0.151,0,201.229,,1.16,11.1,2217.87,33.2713,11.48,2087.7
91,34.32,-120.80682,0,30.8,0,8.45,232,156.2,0.462,0,66.13022,,2.43,41.73,2289.1,34.113,8.47,2273.68
92,33.41947,-117.90327,0.4,5.2,0,13.05,30,281,0.099,0,227.8407,,0.77,6.5,2224.44,33.388,13.05,2064.63
93,34.27192,-120.0276,0.111,3.5,0.28,14.69,2,294.7,0.006,0.28,250.9669,,0.54,6.9,2244.52,33.651,14.69,2037.69
94,34.31327,-120.79398,0.012,28.76,0.01,8.29,171,161.8,0.396,0.01,109.2096,,2.17,36.09,2259.22,33.972,8.31,2205.75
95,33.14857,-123.2225,0.025,39.36,0.1,6.15,519,116.7,0.95,0.1,16.0904,,3.13,74.93,2310.59,34.264,6.2,2309.04
96,31.416667,-122.001667,0,28.9,0,8.22,231,158.8,0.593,0,101.3739,,2.13,36.4,2263.7,34.02,8.24,2212.12
97,34.28,-120.023333,0.08,2.4,0.49,13.03,1,278.5,0.003,0.49,263.9943,,0.54,2.8,2230.59,33.4258,13.03,2031.39
98,34.44992,-120.52393,0.125,17.01,0,10.96,60,237.7,0.177,0,161.55,,1.46,15.54,2228.01,33.504,10.97,2131.69
99,33.49167,-122.53982,0.02,0.1,0.03,14.19,41,306.3,0.123,0.03,257.0944,,0.33,2.76,2229.5,33.382,14.19,2015.98
100,31.415,-122.016667,0,0,0,14.75,25,319.6,0.08,0,255.8233,,0.3,2.1,2225.97,33.3359,14.75,2009.98
101,34.275,-120.025,0.01,28.9,0,9.03,171,168.4,0.406,0,80.06345,,2.26,35.8,2261.3,34.041,9.05,2224
102,34.3165,-120.8009,0.157,9.6,0.07,12.04,50,272.4,0.169,0.07,215.6227,,0.99,8.53,2217.32,33.277,12.04,2071.79
103,34.49023,-120.92117,0.04,28.4,0,9.28,171,169.7,0.388,0,69.18587,,2.33,36.48,2264.71,34.074,9.3,2229.82
104,33.48392,-122.53138,0.004,40.4,0.02,5.83,518,110.8,0.866,0.02,11.30614,,3.16,80.95,2319.39,34.287,5.87,2319.93
105,32.65133,-119.48202,0.026,29.07,0,8.41,171,160,0.397,0,94.87,,2.25,38.13,2261.75,34.032,8.43,2218.48
106,31.418333,-122.001667,0,32.1,0,7.81,271,150.9,0.611,0,78.7428,,2.4,44.8,2270.6,34.08,7.84,2244.7
107,32.421667,-119.96,0.05,15.6,0,11.88,49,253.3,0.16,0,178.5618,,1.33,13.8,2231.97,33.4939,11.89,2114.11
108,33.485,-122.541667,0,0.1,0.01,17.55,2,386.6,0.008,0.01,241.6088,,0.28,1.3,2224.1,33.241,17.55,1998.1
109,31.41382,-121.996,0,35,0,7.26,322,140.9,0.712,0,55.24428,,2.64,52.71,2278.16,34.101,7.29,2259.17
110,33.81027,-121.84337,0.016,0.15,0,15.46,50,346.4,0.176,0,253.7114,,0.38,2.18,2221.83,33.189,15.47,2009.67
111,32.85,-117.531667,0,27.2,0,9.56,171,175.2,0.396,0,86.16111,,2.21,32.4,2262.01,34.0628,9.58,2211.8
112,33.417,-117.911,0,29.5,0.08,9.02,171,157.8,0.346,0.08,66.56704,,2.38,38.86,2272.41,34.158,9.04,2234.51
113,32.8483,-117.52998,0.02,38.7,0.02,6.57,520,119.1,0.961,0.02,15.04699,,3.17,71.15,2311.81,34.306,6.61,2307.57
114,33.1494,-123.22062,0,0,0.07,15.12,50,346.9,0.193,0.07,258.944,,0.35,2.59,2214.61,33.083,15.13,1999.6
115,32.845,-117.536667,0,30.3,0,8.77,323,151.7,0.727,0,53.07479,,2.53,42.9,2280.77,34.248,8.8,2249.22
116,34.2749,-120.02508,0.063,25.83,0,9.95,171,182.6,0.411,0,86.92,,2.19,30.24,2261.69,34.053,9.97,2210.69
117,32.84348,-117.53017,0.06,0.6,0.14,14.07,29,293.2,0.086,0.14,254.0109,,0.37,2.24,2239.8,33.511,14.07,2022.02
118,33.42,-117.9,0.05,20.2,0.01,10.78,50,231.4,0.142,0.01,145.43,,1.65,19.7,2229.8,33.545,10.79,2145.6
119,32.65432,-119.48232,0.02,19.2,0.07,10.13,101,219.6,0.268,0.07,163.2603,,1.55,18.59,2229.35,33.571,10.14,2135.25
120,33.48168,-122.534,0,34.9,0,7.69,323,137.5,0.69,0,32.27533,,2.88,54.49,2284.04,34.228,7.73,2275.83
121,32.848333,-117.528333,0.1,22.2,0,10.02,51,210.5,0.138,0,135.8217,,1.8,22.9,2234.1,33.662,10.03,2160.7
122,31.415,-122.016667,0,40.6,0,5.83,518,110.9,0.945,0,13.91533,,3.14,81.7,2317.77,34.2838,5.87,2318.01
123,34.276667,-120.03,0.11,26.4,0,9.55,30,183.5,0.065,0,100.5329,,2.05,30.5,2254.1,33.923,9.55,2208.5
124,31.41432,-121.99767,0,19,0.13,9.67,171,209.7,0.488,0.13,173.2533,,1.47,19,2232.4,33.615,9.69,2132.32
125,33.41783,-117.90288,0.016,39.3,0.03,6.7,519,121.8,0.9,0.03,16.09114,,3.19,68.41,2309.53,34.282,6.75,2303.77
126,33.82,-118.626667,0.43,16.9,1.27,11.18,30,240.2,0.087,1.27,165.0395,,1.43,15.6,2232.3,33.51,11.18,2131.7
127,34.27822,-120.02078,0.128,23.23,0,9.66,50,196.5,0.113,0,128.4028,,1.9,24.86,2255.22,33.758,9.66,2174.05
128,32.66247,-119.48342,0.02,30.3,0,8.05,231,156.3,0.546,0,96.88978,,2.31,39.52,2260.7,34.023,8.07,2215.65
129,34.275,-120.033333,0,0,0.14,19.22,2,403.1,0.008,0.14,252.5544,,0.17,3.3,2242.41,33.549,19.22,1979.52
130,33.82253,-118.62812,0.029,21,0.05,10.37,101,211.8,0.292,0.05,133.6451,,1.74,21.2,2239.6,33.724,10.38,2160.78
131,31.418333,-122.001667,0,41.3,0,5.45,521,111.5,0.93,0,17.82921,,3.12,84.2,2314.9,34.23,5.49,2315.3
132,33.488333,-122.551667,0,35.9,0,7.49,323,137.3,0.666,0,38.27816,,2.74,55.1,2281.89,34.1915,7.52,2274.02
133,31.41283,-121.99633,0.039,0.5,0.42,16.67,3,352.9,0.011,0.42,254.6044,,0.37,0.98,2231.34,33.433,16.67,2014.17
134,33.82297,-118.62882,0.087,13.7,0,11.02,50,250.1,0.169,0,197.16,,1.2,11.81,2219.83,33.337,11.02,2098.36
135,33.48213,-122.53752,0.02,32.1,0,8.01,233,152.1,0.508,0,71.78323,,2.35,43.48,2271.69,34.071,8.03,2237.21
136,32.848333,-117.528333,0,32.2,0.04,8.56,322,142.6,0.573,0.04,24.79497,,2.79,49.8,2292,34.349,8.59,2275.3
137,33.418333,-117.905,0,30.5,0,8.57,231,157.6,0.515,0,74.8328,,2.35,39.3,2270.9,34.107,8.59,2230.7
138,33.49167,-122.53982,0.02,18.5,0,9.88,101,218.3,0.279,0,178.931,,1.48,17.24,2228.46,33.551,9.89,2128.64
139,34.268333,-120.021667,0.14,26.2,0,6.47,520,122.4,0.819,0,0.869804,,3.7,102.8,2327.93,34.243,6.52,2341.668123
140,32.65458,-119.48298,0.017,34.5,0.01,7.62,323,137.6,0.666,0.01,37.84311,,2.74,53.13,2288.18,34.214,7.66,2269.89
141,31.41,-121.991667,0.05,15.9,0,10.57,100,234.6,0.302,0,211.6183,,1.34,14.3,2227.12,33.4612,10.58,2107.46035
142,34.15052,-121.14713,0.037,20.78,0.01,10.01,101,215,0.279,0.01,151.0632,,1.7,21.36,2233.2,33.602,10.02,2149.4
143,33.82523,-118.62683,0.023,30.6,0.03,9.24,233,160.8,0.472,0.03,55.69094,,2.7,38.4,2276.62,34.207,9.27,2240.68
144,32.985,-120.346666,0,40,0,5.72,516,110.1,0.842,0,15.65464,,3.19,82.3,2320.08,34.2744,5.76,2320.12
145,33.42318,-117.90352,0.018,34.9,0.1,7.18,516,128.8,0.961,0.1,20.00653,,2.96,61.76,2302.82,34.287,7.23,2292.92
146,32.65318,-119.47958,0.029,16.33,0.08,10.17,102,233.2,0.332,0.08,192.8917,,1.37,14.82,2220.19,33.39,10.18,2110.22
147,32.991667,-120.34,0.2,5.4,0.77,12.39,49,268.1,0.14,0.77,261.3494,,0.79,7.5,2235.75,33.424,12.4,2055.56
148,33.483333,-122.535,0,0,0.03,13.22,51,324.1,0.171,0.03,265.4216,,0.29,2.5,2204.9,32.883,13.23,1998.5
149,34.281667,-120.038333,0,0.1,0,13.78,2,304.1,0.006,0,305.0243,,0.19,1,2213.01,33.2765,13.78,1971.66
150,31.418333,-121.998333,0,0.1,0.02,19.06,25,424.2,0.106,0.02,233.8469,,0.27,1.4,2221.6,33.22,19.06,1998.4
151,33.41947,-117.90327,0.01,38.1,0.04,6.23,520,113.7,0.933,0.04,10.87154,,3.12,76.23,2315.47,34.314,6.28,2317.74
152,32.65133,-119.48202,0.122,2.33,0.3,15.02,30,320.9,0.111,0.3,248.36,,0.52,2.62,2234.29,33.393,15.03,2032.69
153,33.81657,-121.8428,0.011,30.49,0,7.84,232,153.9,0.552,0,96.72,,2.29,41.71,2262.74,33.956,7.87,2219.53
154,34.16203,-121.15758,0.018,39.7,0.03,6.08,520,113.1,0.852,0.03,14.78524,,3.16,77.28,2315.41,34.299,6.12,2314.49
155,32.84562,-117.53203,0.148,5.9,0.35,12.36,50,289.1,0.179,0.35,239.1858,,0.78,5.55,2212.75,33.133,12.37,2045.78
156,34.2769,-120.02423,0.022,13.57,0.01,10.97,101,246,0.319,0.01,192.9167,,1.22,12.64,2222.98,33.4,10.99,2100.83
157,33.823333,-118.63,0,37.2,0,6.94,519,123.8,0.881,0,16.09153,,3,66.1,2309.1,34.319,6.99,2308.41
158,33.81027,-121.84337,0.01,0,0,16.07,3,358.1,0.011,0,252.0018,,0.35,2.19,2221.84,33.186,16.07,2007.78
159,33.42,-117.901667,0,27.5,0,9.58,171,174.8,0.401,0,80.93883,,2.25,33.3,2263.59,34.0662,9.6,2216.08
160,32.6524,-119.4811,0.003,26.7,0.05,8.62,171,171.1,0.421,0.05,114.0064,,2.07,32.05,2252.37,33.922,8.64,2197.97
161,33.418333,-117.898333,0.08,18.4,0.03,11.24,50,236.8,0.138,0.03,144.5671,,1.62,17.8,2230.78,33.5679,11.25,2137.65
162,33.483333,-122.535,0,35.5,0,6.99,321,138.6,0.692,0,55.6783,,2.7,56.1,2282.1,34.09,7.02,2261.3
163,34.318333,-120.803333,0.18,22.9,0.68,9.89,50,198.4,0.108,0.68,141.4634,,1.92,25.5,2249.9,33.793,9.9,2174.8
164,31.42703,-121.97902,0.006,0,0.03,14.45,51,332.7,0.176,0.03,258.4705,,0.36,3.01,2213.39,33.085,14.46,2005.41
165,32.413333,-119.966667,0,24.9,0,9.4,101,190.4,0.277,0,127.0877,,1.9,28.2,2246.11,33.802,9.41,2178.73
166,33.49017,-122.543,0.03,12.7,0,10.59,102,240.3,0.289,0,205.5339,,1.14,11.44,2219,33.381,10.61,2091.74
167,31.41,-121.991667,0,21.4,0,9.75,172,196.4,0.487,0,149.7266,,1.68,22.2,2242.77,33.8136,9.77,2152.07
168,33,-120.39,0,0,0.27,17.74,17,372.8,0.064,0.27,244.1898,,0.3,1.7,2239.48,33.49,17.74,2001.66
169,34.14528,-120.68388,0.08,0.5,0.1,14.59,15,300,0.046,0.1,263.6155,,0.43,1.32,2238.98,33.546,14.59,2023.52
170,33.14778,-123.2202,0.02,27.5,0.04,8.45,171,167.8,0.421,0.04,120.5295,,2,32.43,2253.57,33.933,8.47,2193.9
171,31.985,-122.403333,0,0.1,0.06,16.65,2,373,0.007,0.06,251.1684,,0.36,2.9,2223.22,33.1466,16.65,1999.14
172,34.315,-120.813333,0,34.8,0,7.58,322,140.1,0.602,0,46.97907,,2.68,52.4,2284.19,34.172,7.61,2265.91
173,34.2749,-120.02508,0.005,24.78,0,6.64,519,124.9,0.924,0,1.58,,3.61,100.45,2333.24,34.244,6.69,2340.76
174,32.843333,-117.533333,0.11,31.1,0.43,9.1,231,155.6,0.466,0.43,47.85712,,2.59,41.6,2278.82,34.2397,9.13,2248.93253
175,31.4174,-121.99422,0.01,0.05,0.09,16.75,50,383.1,0.216,0.09,261.2201,,0.35,2.21,2214.83,33.064,16.76,1995.09
176,33.48258,-122.53307,0.01,39.16,0.01,6.08,519,114.2,0.963,0.01,13.9157,,3.11,77.43,2315.46,34.285,6.12,2315.34
177,34.16203,-121.15758,0.053,0.3,0.12,14.49,2,305.2,0.006,0.12,259.7092,,0.42,3.64,2233.29,33.452,14.49,2019.42
178,32.41752,-119.96252,0.03,0.1,0.07,15.38,30,329.7,0.108,0.07,254.062,,0.33,1.92,2229.69,33.37,15.39,2008.88
179,33.818333,-118.625,0.18,21,0.35,10.61,50,215.3,0.127,0.35,122.3325,,1.86,21.7,2282.62,33.7121,10.62,2170.91
180,33.14967,-123.22272,0.012,29.29,0.02,8.07,232,159,0.589,0.02,108.7702,,2.15,38.31,2262.14,33.993,8.09,2212.3
181,33.82337,-118.629,0.03,15.5,0,11.41,101,244.3,0.296,0,161.124,,1.38,15.11,2223.84,33.522,11.42,2126.12
182,33.827,-118.63057,0.031,15.55,0.11,10.91,101,239.5,0.323,0.11,177.6632,,1.36,14.32,2226.91,33.473,10.92,2115.77
183,33.488333,-119.323333,0,24.6,0,9.69,100,186.2,0.277,0,113.5906,,1.95,27.4,2250.8,33.9166,9.7,2183.43
184,33.82,-118.626667,0,38.9,0,6.23,521,115.4,0.814,0,13.04617,,3.13,77.2,2315.8,34.304,6.28,2314.2
185,34.15207,-121.15003,0.023,26.94,0.02,8.74,171,169.7,0.422,0.02,102.76,,2.15,34.14,2258.13,33.973,8.76,2207.27
186,34.66333,-121.0434,0.04,39.5,0,6.06,518,116.2,0.894,0,18.26473,,3.09,77.12,2318.72,34.252,6.1,2312.95
187,31.41838,-121.99563,0.013,19.17,0.07,9.49,171,212.7,0.549,0.07,175.0002,,1.54,19.19,2227.95,33.537,9.51,2133.54
188,32.92,-118.938333,0,38.7,0,6.56,523,118.8,0.93,0,18.26519,,3.05,70.9,2311.88,34.3063,6.61,2308.21
189,32.915,-118.945,0,29.9,0,8.68,170,158.4,0.363,0,77.87991,,2.29,38.2,2267.88,34.104,8.7,2226.6
190,32.84228,-117.53622,0.013,28.5,0,9.17,171,164.4,0.403,0,77.44921,,2.38,36.85,2268.8,34.123,9.19,2226.2
191,32.84762,-117.53343,0.029,25.9,0.1,10.13,171,184.1,0.43,0.1,79.64058,,2.22,30.37,2261.95,34.067,10.15,2211.18
192,33.41947,-117.90327,0.01,28.1,0,9.15,232,165.5,0.541,0,74.40331,,2.31,36.06,2269,34.119,9.17,2227.07
